Test,n_sources,max_out_degree,n_nodes,max_instances,n_compute,n_instances,g_diam,n_sinks,median_out_degree,config,n_math,n_edges,n_cycles
clamp-ushort16,3,8,60,1,32,36,4,1,1,1,0,104,8.79609E+12
cmp-short2-add,3,2,10,1,3,7,4,1,1,15,0,11,1
convert-float8-ushort8_rtp,1,8,18,1,8,10,3,1,1,15,0,24,32
convert-int-ushort,1,1,3,1,0,2,2,1,1,1,0,2,0.25
linear-upsample_pma,3,8,60,1,51,53,7,1,1,0,0,113,4.5036E+15
iv-select-acc-eq-idx-innerLoop-i16-irVal-multiUse,2,3,10,3,6,12,5,1,1,3,0,12,2
rotate-uchar,4,2,15,1,8,11,6,1,1,1,0,18,4
racc-short32_pma,2,8,35,2,16,20,7,1,2,4,0,64,268435456
outer_loop_acc_early_complex-i16,3,2,8,3,3,9,5,1,1,1,0,8,0.5
mad_hi-uchar8,4,4,29,1,12,16,5,1,1,1,0,40,1024
convert-float16-char16_rtp,2,8,35,1,16,19,3,1,1,1,0,48,4096
mad_hi-uchar3,5,2,19,1,7,11,5,1,1,1,0,21,2
mad_hi-uchar2,4,1,11,1,3,7,5,1,1,1,0,10,0.25
convert-uint3-int3,1,4,6,1,0,2,2,1,1,1,0,8,2
mad_hi-uchar4,4,2,17,1,6,10,5,1,1,14,0,20,4
clamp-char4_scalar,3,4,20,1,12,16,5,1,1,1,0,28,128
fp_to_uint,1,1,4,1,1,3,3,1,1,1,0,3,0.25
any-int16,3,8,36,1,16,19,17,1,1,0,0,49,4096
convert-uchar-short,2,1,5,1,1,3,3,1,1,15,0,4,0.25
add_rshift_sat_pos_b_iu,3,4,16,1,4,8,3,1,1,15,0,24,128
native_sin-float3,2,3,9,1,3,5,3,1,1,14,3,12,4
rotate-uchar16,3,16,92,1,72,75,6,1,1,14,0,136,8.79609E+12
mad24-uint,3,3,11,1,4,8,4,1,1,15,0,14,4
convert-uchar4-int4,3,2,8,1,2,5,3,2,1,1,0,7,0.25
convert-uint3-float3_rte,1,3,8,1,3,5,3,1,1,1,0,9,1
convert-uint3-float3_rtn,7,3,38,1,27,29,6,1,2,0,0,63,16777216
convert-short-uint,1,1,4,1,1,3,3,1,1,1,0,3,0.25
clamp-char_scalar,3,1,12,1,5,9,5,1,1,0,0,11,0.25
native_powr-float3,2,3,15,1,6,9,4,1,1,100,6,18,4
native_powr-float2,2,2,11,1,4,7,4,1,1,100,4,12,1
convert-uint3-float3_rtp,7,3,38,1,27,29,6,1,2,12,0,63,16777216
native_powr-float4,2,4,19,1,8,11,4,1,1,100,8,24,16
mul_hi-uchar8,3,4,20,1,8,11,4,1,1,1,0,28,128
mul_hi-uchar4,3,2,12,1,4,7,4,1,1,1,0,14,2
mesw-439266,2,12,30,1,12,15,3,1,1,100,0,51,1048576
mul_hi-uchar2,3,1,8,1,2,5,4,1,1,0,0,7,0.25
store-5-bytes,5,3,13,1,6,8,4,1,1,0,0,15,2
convert-float2-uint2_rte,1,2,6,1,2,4,3,1,1,1,0,6,0.5
convert-uchar-ushort,2,1,5,1,1,3,3,1,1,8,0,4,0.25
convert-ushort16-float16_rtp,1,8,27,1,16,19,3,2,1,3,0,40,4096
subloops_pma,2,4,11,1,4,6,3,1,1,14,0,16,16
convert-char2-uint2,3,2,7,1,2,4,3,1,1,0,0,7,0.5
racc-char32_pma,1,16,33,2,15,25,6,1,1,14,0,47,8192
convert-float2-uint2_rtz,1,2,6,1,2,4,3,1,1,1,0,6,0.5
iters-for-sink-hoist-int4_pma,3,8,21,1,8,12,3,2,1,14,0,32,1024
clamp-float2,3,2,14,1,4,8,4,1,1,14,0,16,2
clamp-float3,3,3,19,1,6,10,4,1,1,3,0,24,16
clamp-float4,3,4,24,1,8,12,4,1,1,3,0,32,128
convert-int-char,1,1,3,1,0,2,2,1,1,3,0,2,0.25
clamp-float8,3,8,44,1,16,20,4,1,1,3,0,64,524288
convert-float3-uchar3_rtz,1,3,8,1,3,5,3,1,1,3,0,9,1
