Test,n_sources,max_out_degree,n_nodes,max_instances,n_compute,n_instances,g_diam,n_sinks,median_out_degree,config,n_math,n_edges,n_cycles
clamp-ushort16,3,8,60,1,32,36,4,1,1,8,0,104,2147483647
cmp-short2-add,3,2,10,1,3,7,4,1,1,3,0,11,3
convert-float8-ushort8_rtp,1,8,18,1,8,10,3,1,1,3,0,24,127
convert-int-ushort,1,1,3,1,0,2,2,1,1,8,0,2,0
linear-upsample_pma,3,8,60,1,51,53,7,1,1,12,0,113,2147483647
iv-select-acc-eq-idx-innerLoop-i16-irVal-multiUse,2,3,10,3,6,12,5,1,1,0,0,12,7
rotate-uchar,4,2,15,1,8,11,6,1,1,8,0,18,15
racc-short32_pma,2,8,35,2,16,20,7,1,2,13,0,64,1073741823
outer_loop_acc_early_complex-i16,3,2,8,3,3,9,5,1,1,8,0,8,1
mad_hi-uchar8,4,4,29,1,12,16,5,1,1,8,0,40,4095
convert-float16-char16_rtp,2,8,35,1,16,19,3,1,1,8,0,48,16383
mad_hi-uchar3,5,2,19,1,7,11,5,1,1,8,0,21,7
mad_hi-uchar2,4,1,11,1,3,7,5,1,1,8,0,10,0
convert-uint3-int3,1,4,6,1,0,2,2,1,1,8,0,8,7
mad_hi-uchar4,4,2,17,1,6,10,5,1,1,7,0,20,15
clamp-char4_scalar,3,4,20,1,12,16,5,1,1,8,0,28,511
fp_to_uint,1,1,4,1,1,3,3,1,1,8,0,3,0
any-int16,3,8,36,1,16,19,17,1,1,12,0,49,16383
convert-uchar-short,2,1,5,1,1,3,3,1,1,3,0,4,0
add_rshift_sat_pos_b_iu,3,4,16,1,4,8,3,1,1,3,0,24,511
native_sin-float3,2,3,9,1,3,5,3,1,1,7,3,12,15
rotate-uchar16,3,16,92,1,72,75,6,1,1,7,0,136,2147483647
mad24-uint,3,3,11,1,4,8,4,1,1,3,0,14,15
convert-uchar4-int4,3,2,8,1,2,5,3,2,1,8,0,7,0
convert-uint3-float3_rte,1,3,8,1,3,5,3,1,1,8,0,9,3
convert-uint3-float3_rtn,7,3,38,1,27,29,6,1,2,12,0,63,67108863
convert-short-uint,1,1,4,1,1,3,3,1,1,8,0,3,0
clamp-char_scalar,3,1,12,1,5,9,5,1,1,12,0,11,0
native_powr-float3,2,3,15,1,6,9,4,1,1,100,6,18,15
native_powr-float2,2,2,11,1,4,7,4,1,1,100,4,12,3
convert-uint3-float3_rtp,7,3,38,1,27,29,6,1,2,15,0,63,67108863
native_powr-float4,2,4,19,1,8,11,4,1,1,100,8,24,63
mul_hi-uchar8,3,4,20,1,8,11,4,1,1,8,0,28,511
mul_hi-uchar4,3,2,12,1,4,7,4,1,1,8,0,14,7
mesw-439266,2,12,30,1,12,15,3,1,1,100,0,51,4194303
mul_hi-uchar2,3,1,8,1,2,5,4,1,1,12,0,7,0
store-5-bytes,5,3,13,1,6,8,4,1,1,12,0,15,7
convert-float2-uint2_rte,1,2,6,1,2,4,3,1,1,8,0,6,1
convert-uchar-ushort,2,1,5,1,1,3,3,1,1,14,0,4,0
convert-ushort16-float16_rtp,1,8,27,1,16,19,3,2,1,0,0,40,16383
subloops_pma,2,4,11,1,4,6,3,1,1,7,0,16,63
convert-char2-uint2,3,2,7,1,2,4,3,1,1,12,0,7,1
racc-char32_pma,1,16,33,2,15,25,6,1,1,7,0,47,32767
convert-float2-uint2_rtz,1,2,6,1,2,4,3,1,1,8,0,6,1
iters-for-sink-hoist-int4_pma,3,8,21,1,8,12,3,2,1,7,0,32,4095
clamp-float2,3,2,14,1,4,8,4,1,1,7,0,16,7
clamp-float3,3,3,19,1,6,10,4,1,1,0,0,24,63
clamp-float4,3,4,24,1,8,12,4,1,1,0,0,32,511
convert-int-char,1,1,3,1,0,2,2,1,1,0,0,2,0
clamp-float8,3,8,44,1,16,20,4,1,1,0,0,64,2097151
convert-float3-uchar3_rtz,1,3,8,1,3,5,3,1,1,0,0,9,3
max-int2,2,2,9,1,2,5,3,1,1,0,0,10,3
max-int3,2,3,12,1,3,6,3,1,1,9,0,15,15
convert-float3-uchar3_rte,1,3,8,1,3,5,3,1,1,0,0,9,3
convert-short16-float16,1,8,27,1,16,19,3,2,1,9,0,40,16383
convert-float3-uchar3_rtn,1,3,8,1,3,5,3,1,1,9,0,9,3
max-int8,2,8,27,1,8,11,3,1,1,9,0,40,16383
sub_sat-int,5,6,18,1,10,13,5,1,1,9,0,28,2047
convert-ushort16-float16_rtz,1,8,27,1,16,19,3,2,1,0,0,40,16383
convert-uchar2-uint2,3,1,6,1,1,4,3,2,1,14,0,4,-0.5
convert-float8-short8,1,8,18,1,8,10,3,1,1,9,0,24,127
vec_step-short,1,1,3,1,0,2,2,1,1,9,0,2,0
mad_hi-ushort,3,1,9,1,2,6,4,1,1,9,0,8,0
rshift_sat_pos_b_ii,2,8,27,1,8,11,3,1,1,7,0,40,16383
bitselect-ushort,4,2,12,1,4,8,4,1,1,4,0,12,1
median_vec4,3,6,77,1,67,71,8,1,2,10,0,135,2147483647
copysign-float2,4,2,15,1,6,9,4,1,1,4,0,18,15
copysign-float3,4,3,20,1,9,12,4,1,1,4,0,27,255
copysign-float4,4,4,25,1,12,15,4,1,1,0,0,36,4095
median_vec1,1,5,34,1,27,29,9,1,1,12,0,52,524287
median_vec2,1,6,46,1,38,40,8,1,2,10,0,78,2147483647
maxpool_8x8_with_bounds,3,18,96,1,74,77,6,1,1,8,0,174,2147483647
gather-to-wide-load-2,2,4,23,1,12,15,3,1,1,4,0,44,4194303
upsample-short8,3,8,20,1,8,11,3,1,2,0,0,40,2097151
min-short,2,1,6,1,1,4,3,1,1,0,0,5,0
upsample-short4,3,4,12,1,4,7,3,1,2,0,0,20,511
upsample-short3,3,3,11,1,3,6,3,1,1,8,0,16,63
upsample-short2,3,2,8,1,2,5,3,1,1,0,0,10,7
ugly_box2box,3,12,82,2,62,66,10,1,1,8,0,140,2147483647
convert-short4-uchar4,1,2,4,1,0,2,2,1,1,14,0,4,1
lshr-basic-uchar-1_pma,2,8,19,1,8,10,3,1,1,7,0,32,16383
min-max-char-transformation-1_pma,3,8,124,1,104,107,6,1,1,2,0,192,2147483647
convert-int3-float3,1,3,8,1,3,5,3,1,1,7,0,9,3
native_log10-float,2,1,6,1,2,4,4,1,1,9,2,5,0
convert-int8-short8,1,8,10,1,0,2,2,1,1,12,0,16,127
sqrt-float,1,1,4,1,1,3,3,1,1,15,1,3,0
iv-select-acc-2way,2,1,5,3,1,5,3,1,1,2,0,4,0
sub_sat-short3,6,5,22,1,11,15,4,2,1,14,0,39,262143
mul-hi-mixed-uchar-ushort-1-wide_pma,2,8,35,1,16,19,3,1,2,4,0,64,1073741823
rhadd-uchar3,6,2,16,1,5,9,4,2,1,9,0,16,1
rhadd-uchar2,3,1,8,1,2,5,4,1,1,14,0,7,0
add-non-splat-non-imm-1d-short8_pma,5,4,14,1,4,6,3,1,1,2,0,16,7
rhadd-uchar8,3,4,20,1,8,11,4,1,1,9,0,28,511
add_sat-short8,4,8,41,1,28,31,4,1,1,8,0,96,2147483647
add_sat-short3,6,5,22,1,11,15,4,2,1,12,0,39,262143
add_sat-short2,4,5,14,1,7,10,4,1,1,3,0,24,2047
dot-uchar4-uchar4,2,2,12,1,5,8,4,1,1,14,0,13,3
add_sat-short4,4,5,23,1,14,17,4,1,1,3,0,48,67108863
dot-char4-uchar4,2,2,12,1,5,8,4,1,1,3,0,13,3
rotate-uchar8,3,8,48,1,36,39,6,1,1,8,0,68,2097151
rotate-uchar4,3,4,26,1,18,21,6,1,1,3,0,34,511
rotate-uchar2,3,2,15,1,9,12,6,1,1,3,0,17,7
rotate-uchar3,3,4,26,1,18,21,6,1,1,3,0,34,511
convert-float2-char2,1,2,6,1,2,4,3,1,1,3,0,6,1
mad_hi-char16,4,8,53,1,24,28,5,1,1,3,0,80,268435455
convert-float16-ushort16,2,8,35,1,16,19,3,1,1,3,0,48,16383
convert-char-float,1,1,5,1,2,4,4,1,1,3,0,4,0
add_low_rshift_sat_pos_h_ui,3,4,16,1,4,8,3,1,1,12,0,24,511
select-float4,3,4,28,1,12,16,4,1,2,3,0,48,2097151
select-float2,3,2,16,1,6,10,4,1,2,3,0,24,511
convert-float2-int2_sat,6,4,27,1,18,20,4,1,2,8,0,50,16777215
select-float8,3,8,52,1,24,28,4,1,2,3,0,96,2147483647
sub-transformations-abs-pos-sat-short-wide-1_pma,2,8,75,1,56,59,5,1,1,12,0,120,2147483647
rshift_sat_pos_h_ii,2,8,27,1,8,11,3,1,1,14,0,40,16383
clamp-short4_scalar,3,4,16,1,8,12,4,1,1,12,0,24,511
mul-cospi-float2,2,2,9,1,2,5,3,1,1,3,2,10,3
convert-char3-float3,2,4,12,1,7,9,5,1,1,8,0,16,31
radians-float16,3,16,37,1,16,20,3,2,1,8,0,64,268435455
iv-select-acc-eq-idx-innerLoop-ver2,2,1,6,3,2,7,4,1,1,8,0,5,0
mul-hi-ushort-1_pma,2,8,35,1,16,19,3,1,2,12,0,64,1073741823
rotate-char,4,2,15,1,8,11,6,1,1,7,0,18,15
add_low_rshift_sat_pos_b_ii,3,8,28,1,8,12,3,1,1,4,0,48,2097151
islessequal-float,2,1,6,1,1,4,3,1,1,3,0,5,0
convert-float2-int2_sat_rtz,6,4,27,1,18,20,4,1,2,3,0,50,16777215
min-ushort,2,1,6,1,1,4,3,1,1,3,0,5,0
convert-float2-int2_sat_rtp,6,4,27,1,18,20,4,1,2,3,0,50,16777215
convert-uint-int,1,1,3,1,0,2,2,1,1,3,0,2,0
mul-exp2-float8,2,8,27,1,8,11,3,1,1,3,8,40,16383
shl-complicated-char-1_pma,2,8,35,1,16,19,3,1,2,12,0,64,1073741823
islessequal-float2,2,2,11,1,4,7,4,1,1,8,0,12,3
islessequal-float3,2,3,15,1,6,9,4,1,1,8,0,18,15
vec_step-char8,1,1,3,1,0,2,2,1,1,3,0,2,0
convert-char3-float3_rtp,2,4,12,1,7,9,5,1,1,8,0,16,31
islessequal-float4,2,4,19,1,8,11,4,1,1,8,0,24,63
ushort2fp_with_shift,2,8,23,1,16,18,4,1,1,8,0,36,16383
vec_step-char2,1,1,3,1,0,2,2,1,1,3,0,2,0
vec_step-char3,1,1,3,1,0,2,2,1,1,3,0,2,0
islessequal-float8,2,8,35,1,16,19,4,1,1,8,0,48,16383
convert-float2-int2_sat_rte,6,4,27,1,18,20,4,1,2,8,0,50,16777215
vec_step-char4,1,1,3,1,0,2,2,1,1,12,0,2,0
memcpy_2D,2,8,19,1,8,10,3,1,1,2,0,32,16383
iv-select-acc-eq-idx-innerLoop-ver2-i16,2,2,7,3,3,8,4,1,1,9,0,7,1
sub-transformations-none-none-abs-uint-1_pma,2,4,15,1,4,7,3,1,1,2,0,20,63
convert-float8-int8_sat,6,8,87,1,72,74,4,1,2,0,0,200,2147483647
