Test,n_sources,"ma , _out_degree",n_nodes,"ma , _instances",n_compute,n_instances,g_diam,n_sinks,median_out_degree,config,n_math,n_edges
clamp-ushort16,3,8,60,1,32,36,4,1,1,1,0,104
cmp-short2-add,3,2,10,1,3,7,4,1,1,15,0,11
convert-float8-ushort8_rtp,1,8,18,1,8,10,3,1,1,15,0,24
convert-int-ushort,1,1,3,1,0,2,2,1,1,1,0,2
linear-upsample_pma,3,8,60,1,51,53,7,1,1,0,0,113
"iv-select-acc-eq-id , -innerLoop-i16-irVal-multiUse",2,3,10,3,6,12,5,1,1,3,0,12
rotate-uchar,4,2,15,1,8,11,6,1,1,1,0,18
racc-short32_pma,2,8,35,2,16,20,7,1,2,4,0,64
"outer_loop_acc_early_comple , -i16",3,2,8,3,3,9,5,1,1,1,0,8
mad_hi-uchar8,4,4,29,1,12,16,5,1,1,1,0,40
convert-float16-char16_rtp,2,8,35,1,16,19,3,1,1,1,0,48
mad_hi-uchar3,5,2,19,1,7,11,5,1,1,1,0,21
mad_hi-uchar2,4,1,11,1,3,7,5,1,1,1,0,10
convert-uint3-int3,1,4,6,1,0,2,2,1,1,1,0,8
mad_hi-uchar4,4,2,17,1,6,10,5,1,1,14,0,20
clamp-char4_scalar,3,4,20,1,12,16,5,1,1,1,0,28
fp_to_uint,1,1,4,1,1,3,3,1,1,1,0,3
any-int16,3,8,36,1,16,19,17,1,1,0,0,49
convert-uchar-short,2,1,5,1,1,3,3,1,1,15,0,4
add_rshift_sat_pos_b_iu,3,4,16,1,4,8,3,1,1,15,0,24
native_sin-float3,2,3,9,1,3,5,3,1,1,14,3,12
rotate-uchar16,3,16,92,1,72,75,6,1,1,14,0,136
mad24-uint,3,3,11,1,4,8,4,1,1,15,0,14
convert-uchar4-int4,3,2,8,1,2,5,3,2,1,1,0,7
convert-uint3-float3_rte,1,3,8,1,3,5,3,1,1,1,0,9
convert-uint3-float3_rtn,7,3,38,1,27,29,6,1,2,0,0,63
convert-short-uint,1,1,4,1,1,3,3,1,1,1,0,3
clamp-char_scalar,3,1,12,1,5,9,5,1,1,0,0,11
convert-uint3-float3_rtp,7,3,38,1,27,29,6,1,2,12,0,63
mul_hi-uchar8,3,4,20,1,8,11,4,1,1,1,0,28
mul_hi-uchar4,3,2,12,1,4,7,4,1,1,1,0,14
mul_hi-uchar2,3,1,8,1,2,5,4,1,1,0,0,7
store-5-bytes,5,3,13,1,6,8,4,1,1,0,0,15
convert-float2-uint2_rte,1,2,6,1,2,4,3,1,1,1,0,6
convert-uchar-ushort,2,1,5,1,1,3,3,1,1,8,0,4
convert-ushort16-float16_rtp,1,8,27,1,16,19,3,2,1,3,0,40
subloops_pma,2,4,11,1,4,6,3,1,1,14,0,16
convert-char2-uint2,3,2,7,1,2,4,3,1,1,0,0,7
racc-char32_pma,1,16,33,2,15,25,6,1,1,14,0,47
convert-float2-uint2_rtz,1,2,6,1,2,4,3,1,1,1,0,6
iters-for-sink-hoist-int4_pma,3,8,21,1,8,12,3,2,1,14,0,32
clamp-float2,3,2,14,1,4,8,4,1,1,14,0,16
clamp-float3,3,3,19,1,6,10,4,1,1,3,0,24
clamp-float4,3,4,24,1,8,12,4,1,1,3,0,32
convert-int-char,1,1,3,1,0,2,2,1,1,3,0,2
clamp-float8,3,8,44,1,16,20,4,1,1,3,0,64
convert-float3-uchar3_rtz,1,3,8,1,3,5,3,1,1,3,0,9
"ma , -int2",2,2,9,1,2,5,3,1,1,3,0,10
"ma , -int3",2,3,12,1,3,6,3,1,1,5,0,15
convert-float3-uchar3_rte,1,3,8,1,3,5,3,1,1,3,0,9
convert-short16-float16,1,8,27,1,16,19,3,2,1,5,0,40
convert-float3-uchar3_rtn,1,3,8,1,3,5,3,1,1,5,0,9
"ma , -int8",2,8,27,1,8,11,3,1,1,5,0,40
sub_sat-int,5,6,18,1,10,13,5,1,1,5,0,28
convert-ushort16-float16_rtz,1,8,27,1,16,19,3,2,1,3,0,40
